Date,Close/Last,Volume,,,
2/17/2022,$164.65 ,6807676,,,
2/16/2022,$168.24 ,4594280,,,
2/15/2022,$166.17 ,6969987,,,
2/14/2022,$162.47 ,7468021,,,
2/11/2022,$164.40 ,7564212,,,
2/10/2022,$170.66 ,7583414,,,
2/9/2022,$176.71 ,7140590,,,
2/8/2022,$172.63 ,4622189,,,
2/7/2022,$169.95 ,6418908,,,
2/4/2022,$171.42 ,11408620,,,
2/3/2022,$175.59 ,11691390,,,
2/2/2022,$187.84 ,8993765,,,
2/1/2022,$181.29 ,6233689,,,
1/31/2022,$179.49 ,6980753,,,
1/28/2022,$177.29 ,7322071,,,
1/27/2022,$174.81 ,6755587,,,
1/26/2022,$178.33 ,12852710,,,
1/25/2022,$173.96 ,8157572,,,
1/24/2022,$178.34 ,11726200,,,
1/21/2022,$175.64 ,11527890,,,
1/20/2022,$173.45 ,6057774,,,
1/19/2022,$178.30 ,5207497,,,
1/18/2022,$182.28 ,7383578,,,
1/14/2022,$187.01 ,4731493,,,
1/13/2022,$184.15 ,5361110,,,
1/12/2022,$186.03 ,4240119,,,
1/11/2022,$184.64 ,5239279,,,
1/10/2022,$182.96 ,7195772,,,
1/7/2022,$179.44 ,7414192,,,
1/6/2022,$186.76 ,4502594,,,
1/5/2022,$186.82 ,5047424,,,
1/4/2022,$190.80 ,4137512,,,
1/3/2022,$190.60 ,3783000,,,
12/31/2021,$188.47 ,2813894,,,
12/30/2021,$189.41 ,2109201,,,
12/29/2021,$190.81 ,2755238,,,
12/28/2021,$191.10 ,2807445,,,
12/27/2021,$191.84 ,3405917,,,
12/23/2021,$187.40 ,3266661,,,
12/22/2021,$186.93 ,3375644,,,
12/21/2021,$186.37 ,6089506,,,
12/20/2021,$184.24 ,4474511,,,
12/17/2021,$186.30 ,8439069,,,
12/16/2021,$188.24 ,5452305,,,
12/15/2021,$193.44 ,6342123,,,
12/14/2021,$190.27 ,6130424,,,
12/13/2021,$193.24 ,6178322,,,
12/10/2021,$196.00 ,3264337,,,
12/9/2021,$193.40 ,3626664,,,
